,AGE,EDUCATION_LEVEL,MARITAL_STATUS,NO_OF_KIDS,OCCUPATION_CATEGORY,INCOME,RISK_LEVEL,SPENDING_VS_INCOME,SPENDING_LEVEL,NETWORTH,RISK_TOLERANCE
260,34,Bachelors/degree,married,2,Senior_level,90522.98595,3,spends_less,5,215922.10973,26.30486381099252
261,44,Bachelors/degree,married,1,mid_level,159746.44579,3,spends_less,5,5918440.5617,4.152774174667817
262,44,Bachelors/degree,married,1,mid_level,159746.44579,3,spends_less,5,5599165.8067,4.163285199002363
263,44,Bachelors/degree,married,1,mid_level,159746.44579,3,spends_less,5,5695787.0673,4.092499944939202
264,44,Bachelors/degree,married,1,mid_level,159746.44579,3,spends_less,5,5949508.4912,4.163046493143441
265,44,Bachelors/degree,married,1,mid_level,159746.44579,3,spends_less,5,5831450.3592,4.15670857178284
266,55,Masters/phd,married,1,Junior_level,21299.526106,4,spends_more,5,247611.39778,1.93322114202257
267,55,Masters/phd,married,1,Junior_level,21299.526106,4,spends_more,5,247611.39778,2.001765857211692
268,55,Masters/phd,married,1,Junior_level,21299.526106,4,spends_more,5,247714.95754,1.902899488473492
269,55,Masters/phd,married,1,Junior_level,21299.526106,4,spends_more,5,247714.95754,1.8885960128831865
270,48,Masters/phd,married,3,Senior_level,161876.3984,3,spends_less,5,614316.52515,9.394119498236474
271,48,Masters/phd,married,3,Senior_level,158681.46949,3,spends_less,5,616387.72044,9.434575256158436
272,48,Masters/phd,married,3,Senior_level,164006.35102,3,spends_less,5,744801.82887,9.450495694860024
273,48,Masters/phd,married,3,Senior_level,161876.3984,3,spends_less,5,620530.11104,9.469130966316715
274,48,Masters/phd,married,3,Senior_level,160811.4221,3,spends_less,5,685772.7629,9.440943038791149
275,58,Masters/phd,married,0,Junior_level,37274.170685,3,spends_averagely,5,890717.53756,3.016151181034436
276,58,Masters/phd,married,0,Junior_level,36209.19438,3,spends_averagely,5,890717.53756,2.9764965846034266
277,58,Masters/phd,married,0,Junior_level,36209.19438,3,spends_averagely,5,576931.45003,2.9764965846034266
278,58,Masters/phd,married,0,Junior_level,36209.19438,3,spends_averagely,5,735377.89027,2.9764965846034266
279,58,Masters/phd,married,0,Junior_level,36209.19438,3,spends_averagely,5,598679.00065,2.9764965846034266
